timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1644399816248,1017,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-3,text,true,,72455,232,13,13,https://www.amazon.com/,29,0,15
1644399816248,29,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-3,text,true,,580,116,13,13,http://www.amazon.com/,29,0,15
1644399816277,988,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-3,text,true,,71875,116,13,13,https://www.amazon.com/,584,0,359
1644399816422,844,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-5,text,true,,74700,232,13,13,https://www.amazon.com/,31,0,18
1644399816422,31,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-5,text,true,,580,116,13,13,http://www.amazon.com/,31,0,18
1644399816454,812,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-5,text,true,,74120,116,13,13,https://www.amazon.com/,407,0,182
1644399816343,925,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-4,text,true,,74345,232,13,13,https://www.amazon.com/,22,0,12
1644399816343,22,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-4,text,true,,580,116,13,13,http://www.amazon.com/,22,0,12
1644399816365,903,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-4,text,true,,73765,116,13,13,https://www.amazon.com/,506,0,271
1644399816153,1133,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-2,text,true,,72178,232,10,10,https://www.amazon.com/,55,0,35
1644399816153,55,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-2,text,true,,580,116,10,10,http://www.amazon.com/,55,0,35
1644399816208,1078,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-2,text,true,,71598,116,10,10,https://www.amazon.com/,663,0,428
1644399816037,1251,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-1,text,true,,73361,232,9,9,https://www.amazon.com/,50,0,35
1644399816532,756,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-6,text,true,,74813,232,9,9,https://www.amazon.com/,33,0,14
1644399816037,50,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-1,text,true,,580,116,9,9,http://www.amazon.com/,50,0,35
1644399816532,34,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-6,text,true,,580,116,9,9,http://www.amazon.com/,33,0,14
1644399816101,1187,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-1,text,true,,72781,116,9,9,https://www.amazon.com/,775,0,535
1644399816566,722,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-6,text,true,,74233,116,9,9,https://www.amazon.com/,305,0,70
1644399816634,692,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-7,text,true,,74283,232,7,7,https://www.amazon.com/,26,0,13
1644399816634,26,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-7,text,true,,580,116,7,7,http://www.amazon.com/,26,0,13
1644399816660,666,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-7,text,true,,73703,116,7,7,https://www.amazon.com/,275,0,53
1644399816731,695,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-8,text,true,,74480,232,8,8,https://www.amazon.com/,30,0,15
1644399816731,30,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-8,text,true,,580,116,8,8,http://www.amazon.com/,30,0,15
1644399816762,664,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-8,text,true,,73900,116,8,8,https://www.amazon.com/,260,0,36
1644399816825,700,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-9,text,true,,74239,232,8,8,https://www.amazon.com/,28,0,12
1644399816825,28,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-9,text,true,,580,116,8,8,http://www.amazon.com/,28,0,12
1644399816853,672,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-9,text,true,,73659,116,8,8,https://www.amazon.com/,270,0,41
1644399817030,699,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-11,text,true,,74924,232,8,8,https://www.amazon.com/,25,0,11
1644399817030,25,HTTP Request-0,301,Moved Permanently,AmazonPerfTest - Thread Groups 1-11,text,true,,580,116,8,8,http://www.amazon.com/,25,0,11
1644399817055,674,HTTP Request-1,200,OK,AmazonPerfTest - Thread Groups 1-11,text,true,,74344,116,8,8,https://www.amazon.com/,282,0,60
1644399817236,750,HTTP Request,200,OK,AmazonPerfTest - Thread Groups 1-13,text,true,,74506,232,10,10,https://www.amazon.com/,50,0,27
